"Query","Count","Shape","Top Click","User Locations"
"yarra korczynskyj","362","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/Y.Korczynskyj","Perth, Bentley, Unknown, Newcastle, Adelaide, Warnbro"
"timetables","361","N/A","http://timetable.student.curtin.edu.au/jsp/criteriaEntry.jsf","Perth, Bentley, Unknown, Bayswater, Sydney, Adelaide"
"enrolment","360","N/A","http://students.curtin.edu.au/administration/enrolment/index.cfm","Unknown, Bentley, Perth, Kuala Lumpur, Eastwood, Brisbane"
"finance","354","N/A","http://handbook.curtin.edu.au/courses/31/312097.html","Bentley, Perth, Unknown, Brisbane, Sydney, Eastwood"
"business school","354","N/A","http://business.curtin.edu.au/","Perth, Unknown, Bentley, Adelaide, Eastwood, Jiddah"
"unipass","351","N/A","http://unilife.curtin.edu.au/learning_support/unipass_students.htm","Bentley, Perth, Unknown, Eastwood, Sydney, Mandurah"
"tuition","348","N/A","http://fees.curtin.edu.au/","Unknown, Perth, Quezon City, Guelph, Mississauga, Bentley"
"mining engineering","346","N/A","https://mining.curtin.edu.au/","Unknown, Bentley, Perth, Lilydale, Blacksburg, Bucaramanga"
"2013 timetable","345","N/A","http://business.curtin.edu.au/schools/cgsb/current_students/timetables.cfm","Bentley, Perth, Unknown, Singapore, Lilyfield, Tanunda"
"occupational health and safety","339","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/GCert-OHS","Unknown, Bentley, Perth, Nairobi, Acacia Ridge, Nedlands"
"unilife","339","N/A","http://unilife.curtin.edu.au/","Bentley, Perth, Unknown, Eastwood, Adelaide, Collie"
"distance education","338","N/A","http://blogs.curtin.edu.au/cel/168/online-classroom-for-remote-and-distance-education-students/","Unknown, Bentley, Perth, Oakleigh, Newcastle, Almaty"
"applied geology","337","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/geology","Perth, Unknown, Bentley, New Lambton, Southampton, Subiaco"
"short courses","333","N/A","http://healthsciences.curtin.edu.au/teaching/soph_short_courses.cfm","Unknown, Perth, Sydney, Toodyay, Dakabin, Brisbane"
"o week","333","N/A","http://unilife.curtin.edu.au/new_to_curtin/orientation.htm","Perth, Unknown, Bentley, Westmead, Eastwood, Belmont"
"health","332","N/A","http://healthsciences.curtin.edu.au/","Perth, Bentley, Unknown, Melbourne, Adelaide, Parkville"
"master","326","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/Master-EngineeringMgmt","Perth, Eastwood, Unknown, Cluj-napoca, Prague, Sydney"
"peter newman","324","N/A","http://news.curtin.edu.au/news/curtin-profile-professor-peter-newman/","Bentley, Perth, Unknown, Sydney, Melbourne, Pyrmont"
"unit outlines - select unit","322","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Unknown, Bentley, Lakeville, Brisbane, Surry Hills"
"english","320","N/A","http://humanities.curtin.edu.au/future_students/celc/","Unknown, Bentley, Perth, Malvern, Sydney, Loughborough"
"diploma","318","N/A","http://handbook.curtin.edu.au/","Unknown, Perth, Goulburn, Ipoh, Sydney, Brooklyn"
"curtin map","318","N/A","http://properties.curtin.edu.au/maps/","Bentley, Perth, Unknown, Sydney, Aitkenvale, Edith"
"online","311","N/A","http://courses.curtin.edu.au/course_overview/curtin-online/","Unknown, Perth, Doha, Bentley, Adelaide, Brisbane"
"faculty","308","N/A","http://scieng.curtin.edu.au/","Unknown, Perth, Bentley, Seoul, Beijing, Scarborough"
